Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ejemplo2D:md1,,,Ejemplo2D:md2,,,Ejemplo2D:md3,,,Ejemplo2D:md4,,,Ejemplo2D:pd1,,,Ejemplo2D:pd2,,,Ejemplo2D:pd3,,,Ejemplo2D:pd4,,
Time,Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1.24,32,0,104.0630909,1016.106786,0,100.008261,952.117845,0,224.9611931,1008.977589,0,221.373181,944.5567295,0,407.0208316,838.331903,0,348.0204713,863.4313782,0,360.1004815,726.6821949,0,300.5375649,751.4850165
1.28,33,0,105.8926034,1008.791013,0,97.98868478,945.1627625,0,226.1412844,994.388538,0,218.6773043,930.3010197,0,399.3099344,812.7353594,0,341.540327,840.5507981,0,347.2493897,703.3878571,0,288.9040419,730.933118
1.32,34,0,107.2778863,1001.378278,0,95.5536136,938.3420376,0,226.4399836,979.7548848,0,215.1271708,916.2336972,0,390.0524889,787.570264,0,333.6385769,818.0415078,0,332.9643445,680.7614612,0,275.9627534,710.9895873
1.36,35,0,108.2139035,993.8955298,0,92.71190008,931.6804668,0,225.8562048,965.1298298,0,210.7356868,902.4059035,0,379.2736179,762.9299588,0,324.3374117,795.9911054,0,317.2813426,658.8908587,0,261.7467894,691.7364734
1.4,36,0,108.697252,986.3699718,0,89.47387525,925.2022683,0,224.3920704,950.5665424,0,205.5188176,888.8679093,0,367.0040711,738.9062728,0,313.6643851,774.4858185,0,300.2417399,637.861888,0,246.2943333,673.2539539
1.44,37,0,108.7261746,978.8289632,0,85.8513109,918.9309934,0,222.0529031,936.1179672,0,199.495529,875.6689318,0,353.280131,715.5891829,0,301.6523268,753.6101772,0,281.8921356,617.7580495,0,229.6485515,655.6200214
1.48,38,0,108.3005662,971.2999191,0,81.85737681,912.8894414,0,218.8472069,921.8366317,0,192.6877187,862.8569558,0,338.1434993,693.0664815,0,288.3392361,733.4466936,0,262.2842356,598.6601857,0,211.8574649,638.9101771
1.52,39,0,107.4219742,963.8102112,0,77.50659288,907.0995761,0,214.7866363,907.7744557,0,185.1201362,850.478559,0,321.6411628,671.4234503,0,273.7681559,714.0755472,0,241.4746971,580.6461715,0,192.9738015,623.1971307
1.56,40,0,106.0935925,956.3870683,0,72.81477633,901.5824466,0,209.8859532,893.9825618,0,176.8202935,838.5787429,0,303.8252405,650.7425435,0,257.9870281,695.5742784,0,219.5249546,563.7906123,0,173.0548303,608.5505112
1.6,41,0,104.3202505,949.0574772,0,67.79898418,896.3581103,0,204.1629741,880.5110905,0,167.8183646,827.2007692,0,284.7528104,631.1030795,0,241.0485302,678.0174916,0,196.5010265,548.1645529,0,152.1621779,595.0365862
